transactionId,customerId,amount,currency,status
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED



10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,AUD,DECLINED
10003,C003,75.25,AUD,APPROVED
10001,C001,125.50,AUD,APPROVED
10002,C002,250.00,,DECLINED
10003,C003,75.25,,APPROVED
